name,serving_size,calories,protein,carbohydrate,total_fat
"Soybeans, raw, green",100 g,147,12.95 g,11.05 g,6.8g
"Soybean, curd cheese",100 g,151,12.50 g,6.90 g,8.1g
"Game meat, raw, bear",100 g,161,20.10 g,0.00 g,8.3g
"Game meat, raw, deer",100 g,120,22.96 g,0.00 g,2.4g
"Oranges, navels, raw",100 g,49,0.91 g,12.54 g,0.2g
"Tostada shells, corn",100 g,474,6.15 g,64.43 g,23g
"Fish, raw, swordfish",100 g,144,19.66 g,0.00 g,6.7g
"Taro, raw, tahitian",100 g,44,2.79 g,6.91 g,1g
"Chicory greens, raw",100 g,23,1.70 g,4.70 g,0.3g
"Hearts of palm, raw",100 g,115,2.70 g,25.61 g,0.2g
"Chayote, raw, fruit",100 g,19,0.82 g,4.51 g,0.1g
"Fish, smoked, cisco",100 g,177,16.36 g,0.00 g,12g
"Frankfurter, turkey",100 g,223,12.23 g,3.81 g,17g
"Candies, jellybeans",100 g,375,0.00 g,93.55 g,0.1g
"Oil, ucuhuba butter",100 g,884,0.00 g,0.00 g,100g
Soy protein isolate,100 g,335,88.32 g,0.00 g,3.4g
"Syrups, light, corn",100 g,283,0.00 g,76.79 g,0.2g
"Fish, raw, milkfish",100 g,148,20.53 g,0.00 g,6.7g
"Fish, raw, monkfish",100 g,76,14.48 g,0.00 g,1.5g
"Mother's loaf, pork",100 g,282,12.07 g,7.53 g,22g
"Tapioca, dry, pearl",100 g,358,0.19 g,88.69 g,0g
"Guavas, raw, common",100 g,68,2.55 g,14.32 g,1g
"Spices, celery seed",100 g,392,18.07 g,41.35 g,25g
"Candies, peanut bar",100 g,522,15.50 g,47.40 g,34g
"Bread, toasted, rye",100 g,284,9.40 g,53.10 g,3.6g
"Oil, apricot kernel",100 g,884,0.00 g,0.00 g,100g
"Candies, YORK BITES",100 g,394,1.78 g,81.64 g,7.3g
"Meatballs, meatless",100 g,197,21.00 g,8.00 g,9g
"Emu, raw, full rump",100 g,112,22.83 g,0.00 g,1.6g
"Mustard greens, raw",100 g,27,2.86 g,4.67 g,0.4g
"Seaweed, raw, laver",100 g,35,5.81 g,5.11 g,0.3g
"Sweet rolls, cheese",100 g,360,7.10 g,43.70 g,18g
"Figs, stewed, dried",100 g,107,1.42 g,27.57 g,0.4g
"Bread sticks, plain",100 g,412,12.00 g,68.40 g,9.5g
"SILK Mocha, soymilk",100 g,58,2.06 g,9.05 g,1.4g
Milk and cereal bar,100 g,413,6.47 g,72.05 g,11g
"Bread, pumpernickel",100 g,250,8.70 g,47.50 g,3.1g
"Game meat, raw, elk",100 g,111,22.95 g,0.00 g,1.5g
"PACE, Pico De Gallo",100 g,31,0.00 g,9.38 g,0g
"Ostrich, raw, round",100 g,116,21.99 g,0.00 g,2.4g
"HORMEL, Cure 81 Ham",100 g,106,18.43 g,0.21 g,3.6g
"Prune juice, canned",100 g,71,0.61 g,17.45 g,0g
"McDONALD'S, BIG MAC",100 g,257,11.82 g,20.08 g,15g
"Soy flour, defatted",100 g,327,51.46 g,33.92 g,1.2g
"Bread, toasted, egg",100 g,315,10.50 g,52.60 g,6.6g
"Fish, raw, mahimahi",100 g,85,18.50 g,0.00 g,0.7g
"Fish, raw, bluefish",100 g,124,20.04 g,0.00 g,4.2g
"Spices, fennel seed",100 g,345,15.80 g,52.29 g,15g
"Potatoes, skin, raw",100 g,58,2.57 g,12.44 g,0.1g
"Pepper, raw, banana",100 g,27,1.66 g,5.35 g,0.5g
"Drumstick pods, raw",100 g,37,2.10 g,8.53 g,0.2g
"Toppings, pineapple",100 g,253,0.10 g,66.40 g,0.1g
Acorn stew (Apache),100 g,95,6.81 g,9.22 g,3.5g
"Tomatoes, sun-dried",100 g,258,14.11 g,55.76 g,3g
"Guava sauce, cooked",100 g,36,0.32 g,9.48 g,0.1g
"Pumpkin leaves, raw",100 g,19,3.15 g,2.33 g,0.4g
"Melons, raw, casaba",100 g,28,1.11 g,6.58 g,0.1g
"Melon balls, frozen",100 g,33,0.84 g,7.94 g,0.3g
"Fish oil, cod liver",100 g,902,0.00 g,0.00 g,100g
"Nuts, dried, acorns",100 g,509,8.10 g,53.66 g,31g
"Rolls, pumpernickel",100 g,276,10.80 g,51.87 g,2.8g
"Gravy, dry, chicken",100 g,381,11.27 g,62.09 g,9.7g
"Fish, raw, tilefish",100 g,96,17.50 g,0.00 g,2.3g
"Ice creams, vanilla",100 g,207,3.50 g,23.60 g,11g
"SILK Plain, soymilk",100 g,41,2.88 g,3.29 g,1.7g
"Cabbage, raw, savoy",100 g,27,2.00 g,6.10 g,0.1g
"Fish, raw, tilapia",100 g,96,20.08 g,0.00 g,1.7g
"Broccoli raab, raw",100 g,22,3.17 g,2.85 g,0.5g
"Corn grain, yellow",100 g,365,9.42 g,74.26 g,4.7g
"Turtle, raw, green",100 g,89,19.80 g,0.00 g,0.5g
"Chicory roots, raw",100 g,72,1.40 g,17.51 g,0.2g
Ice cream sandwich,100 g,237,4.29 g,37.14 g,8.6g
"Croutons, seasoned",100 g,465,10.80 g,63.50 g,18g
"Snacks, taro chips",100 g,498,2.30 g,68.10 g,25g
"Prickly pears, raw",100 g,41,0.73 g,9.57 g,0.5g
"Fish, raw, haddock",100 g,74,16.32 g,0.00 g,0.5g
"Liver cheese, pork",100 g,304,15.20 g,2.10 g,26g
"Ground turkey, raw",100 g,148,19.66 g,0.00 g,7.7g
Jams and preserves,100 g,278,0.37 g,68.86 g,0.1g
"Carrots, raw, baby",100 g,35,0.64 g,8.24 g,0.1g
"Oil, nutmeg butter",100 g,884,0.00 g,0.00 g,100g
"Semolina, enriched",100 g,360,12.68 g,72.83 g,1.1g
"Spices, anise seed",100 g,337,17.60 g,50.02 g,16g
"Snacks, corn cakes",100 g,387,8.10 g,83.40 g,2.4g
"Catsup, low sodium",100 g,101,1.04 g,27.40 g,0.1g
"Croissants, cheese",100 g,414,9.20 g,47.00 g,21g
"Milk, fluid, sheep",100 g,108,5.98 g,5.36 g,7g
"Acerola juice, raw",100 g,23,0.40 g,4.80 g,0.3g
"Jute, raw, potherb",100 g,34,4.65 g,5.80 g,0.3g
"Fast food, biscuit",100 g,370,7.08 g,42.82 g,19g
"Bagels, multigrain",100 g,241,9.90 g,47.47 g,1.2g
"Beef, dried, cured",100 g,153,31.10 g,2.76 g,1.9g
"Nuts, almond paste",100 g,458,9.00 g,47.81 g,28g
"Seaweed, raw, kelp",100 g,43,1.68 g,9.57 g,0.6g
"Seaweed, raw, agar",100 g,26,0.54 g,6.75 g,0g
"Fish oil, menhaden",100 g,902,0.00 g,0.00 g,100g
"Rolls, egg, dinner",100 g,307,9.50 g,52.00 g,6.4g
"Bread, white wheat",100 g,238,10.66 g,43.91 g,2.2g
"Onions, raw, sweet",100 g,32,0.80 g,7.55 g,0.1g
"Onions, raw, welsh",100 g,34,1.90 g,6.50 g,0.4g
"SILK Chai, soymilk",100 g,53,2.47 g,7.82 g,1.4g
"Rolls, rye, dinner",100 g,286,10.30 g,53.10 g,3.4g
"Gravy, dry, au jus",100 g,313,9.20 g,47.49 g,9.6g
"Cheese, neufchatel",100 g,253,9.15 g,3.59 g,23g
"Hummus, commercial",100 g,166,7.90 g,14.29 g,9.6g
"Croissants, butter",100 g,406,8.20 g,45.80 g,21g
"Carrot, dehydrated",100 g,341,8.10 g,79.57 g,1.5g
"Vinegar, distilled",100 g,18,0.00 g,0.04 g,0g
"Sapote, raw, mamey",100 g,124,1.45 g,32.10 g,0.5g
"Soy flour, low-fat",100 g,372,49.81 g,30.63 g,8.9g
"Syrups, sugar free",100 g,52,0.80 g,12.13 g,0g
"Syrups, dark, corn",100 g,286,0.00 g,77.59 g,0g
"Taco shells, baked",100 g,476,6.41 g,63.49 g,22g
"Spices, cumin seed",100 g,375,17.81 g,44.24 g,22g
"Bamboo shoots, raw",100 g,27,2.60 g,5.20 g,0.3g
"Fish, raw, lingcod",100 g,85,17.66 g,0.00 g,1.1g
"Whey, dried, sweet",100 g,353,12.93 g,74.46 g,1.1g
"Whey, fluid, sweet",100 g,27,0.85 g,5.14 g,0.4g
"Spices, poppy seed",100 g,525,17.99 g,28.13 g,42g
"Babyfood, pretzels",100 g,397,10.80 g,82.20 g,2g
"Fat, mutton tallow",100 g,902,0.00 g,0.00 g,100g
"Coffeecake, cheese",100 g,339,7.00 g,44.30 g,15g
"Sauce, horseradish",100 g,503,1.09 g,10.05 g,51g
"Yardlong bean, raw",100 g,47,2.80 g,8.35 g,0.4g
"Cress, raw, garden",100 g,32,2.60 g,5.50 g,0.7g
"Dates, deglet noor",100 g,282,2.45 g,75.03 g,0.4g
"Lambsquarters, raw",100 g,43,4.20 g,7.30 g,0.8g
"Gravy, dry, turkey",100 g,367,10.42 g,65.12 g,7.2g
Vital wheat gluten,100 g,370,75.16 g,13.79 g,1.9g
"Turnip greens, raw",100 g,32,1.50 g,7.13 g,0.3g
"Sugars, granulated",100 g,387,0.00 g,99.98 g,0g
"Frankfurter, pork",100 g,269,12.81 g,0.28 g,24g
"Pomegranates, raw",100 g,83,1.67 g,18.70 g,1.2g
"Pears, raw, asian",100 g,42,0.50 g,10.65 g,0.2g
"Cookies, molasses",100 g,430,5.60 g,73.80 g,13g
"Cookies, fig bars",100 g,348,3.70 g,70.90 g,7.3g
Liverwurst spread,100 g,305,12.38 g,5.89 g,25g
Roast beef spread,100 g,223,15.27 g,3.73 g,16g
"Chard, raw, swiss",100 g,19,1.80 g,3.74 g,0.2g
"Goose, raw, liver",100 g,133,16.37 g,6.32 g,4.3g
"TACO BELL, Nachos",100 g,350,4.32 g,34.91 g,22g
"Sausage, meatless",100 g,255,20.28 g,8.09 g,18g
"Frankfurter, meat",100 g,290,10.26 g,4.17 g,26g
"Rice flour, brown",100 g,363,7.23 g,76.48 g,2.8g
"Peppermint, fresh",100 g,70,3.75 g,14.89 g,0.9g
"Vinegar, red wine",100 g,19,0.04 g,0.27 g,0g
"Vinegar, balsamic",100 g,88,0.49 g,17.03 g,0g
"Luxury loaf, pork",100 g,141,18.40 g,4.90 g,4.8g
"Rye flour, medium",100 g,349,10.88 g,75.43 g,1.5g
"DENNY'S, coleslaw",100 g,183,0.97 g,10.88 g,15g
"Bread, wheat bran",100 g,248,8.80 g,47.80 g,3.4g
"Croissants, apple",100 g,254,7.40 g,37.10 g,8.7g
"Candies, Tamarind",100 g,368,0.00 g,91.96 g,0g
"Oheloberries, raw",100 g,28,0.38 g,6.84 g,0.2g
"PACE, Salsa Verde",100 g,47,0.00 g,6.25 g,1.6g
Barley malt flour,100 g,361,10.28 g,78.30 g,1.8g
"Rice noodles, dry",100 g,364,5.95 g,80.18 g,0.6g
"Fish oil, sardine",100 g,902,0.00 g,0.00 g,100g
"Fish oil, herring",100 g,902,0.00 g,0.00 g,100g
"Plantains, cooked",100 g,116,0.79 g,31.15 g,0.2g
"Burdock root, raw",100 g,72,1.53 g,17.34 g,0.2g
"Butterbur, canned",100 g,3,0.11 g,0.38 g,0.1g
"Ostrich, raw, fan",100 g,117,21.81 g,0.00 g,2.7g
"SILK Nog, soymilk",100 g,74,2.46 g,12.30 g,1.6g
"Gravy, dry, brown",100 g,367,10.74 g,59.38 g,9.6g
"Cheese, provolone",100 g,351,25.58 g,2.14 g,27g
"Cheese, roquefort",100 g,369,21.54 g,2.00 g,31g
"Muffins, oat bran",100 g,270,7.00 g,48.30 g,7.4g
"Syrups, grenadine",100 g,268,0.00 g,66.91 g,0g
"Raisins, seedless",100 g,299,3.07 g,79.18 g,0.5g
"Strawberries, raw",100 g,32,0.67 g,7.68 g,0.3g
"Fish, raw, burbot",100 g,90,19.31 g,0.00 g,0.8g
"Wheat germ, crude",100 g,360,23.15 g,51.80 g,9.7g
"Wheat, hard white",100 g,342,11.31 g,75.90 g,1.7g
"Wheat bran, crude",100 g,216,15.55 g,64.51 g,4.3g
"Gooseberries, raw",100 g,44,0.88 g,10.18 g,0.6g
"Spices, dill seed",100 g,305,15.98 g,55.17 g,15g
"Oil, cocoa butter",100 g,884,0.00 g,0.00 g,100g
"APPLEBEE'S, chili",100 g,157,12.56 g,4.57 g,9.8g
"Grape leaves, raw",100 g,93,5.60 g,17.31 g,2.1g
"Kale, raw, scotch",100 g,42,2.80 g,8.32 g,0.6g
"Marmalade, orange",100 g,246,0.30 g,66.30 g,0g
"Whey, dried, acid",100 g,339,11.73 g,73.45 g,0.5g
"Whey, fluid, acid",100 g,24,0.76 g,5.12 g,0.1g
"Eggplant, pickled",100 g,49,0.90 g,9.77 g,0.7g
"Babyfood, cookies",100 g,433,11.80 g,67.10 g,13g
"Fennel, raw, bulb",100 g,31,1.24 g,7.30 g,0.2g
"Egg, dried, whole",100 g,592,48.05 g,1.13 g,44g
"Coffeecake, fruit",100 g,311,5.20 g,51.50 g,10g
"Candies, caramels",100 g,382,4.60 g,77.00 g,8.1g
"Sour cream, light",100 g,136,3.50 g,7.10 g,11g
"Egg, dried, white",100 g,382,81.10 g,7.80 g,0g
"Wild rice, cooked",100 g,101,3.99 g,21.34 g,0.3g
"Chicken, meatless",100 g,224,23.64 g,3.64 g,13g
"Corn grain, white",100 g,365,9.42 g,74.26 g,4.7g
"Veal, raw, ground",100 g,197,18.58 g,0.00 g,13g
"Wheat, soft white",100 g,340,10.69 g,75.36 g,2g
"Elderberries, raw",100 g,73,0.66 g,18.40 g,0.5g
"Nuts, raw, acorns",100 g,387,6.15 g,40.75 g,24g
"Orange juice, raw",100 g,45,0.70 g,10.40 g,0.2g
"POPEYES, Coleslaw",100 g,161,0.98 g,14.12 g,11g
"Cabbage, raw, red",100 g,31,1.43 g,7.37 g,0.2g
"Blackberries, raw",100 g,43,1.39 g,9.61 g,0.5g
"Wasabi, raw, root",100 g,109,4.80 g,23.54 g,0.6g
"Cheese, limburger",100 g,327,20.05 g,0.49 g,27g
"Raspberries, raw",100 g,52,1.20 g,11.94 g,0.7g
"Corn bran, crude",100 g,224,8.36 g,85.64 g,0.9g
"Bread, rice bran",100 g,243,8.90 g,43.50 g,4.6g
